tempo;algoritmo;total_escoados;fila_maxima;ocupacao_media
5;roundrobin;2;1.0;0.05
10;roundrobin;4;2.0;0.10
15;roundrobin;6;3.0;0.15
20;roundrobin;0;0.0;0.00
25;roundrobin;6;1.0;0.08
30;roundrobin;12;2.0;0.17
35;roundrobin;2;1.0;0.05
40;roundrobin;4;2.0;0.10
45;roundrobin;4;2.0;0.10
50;roundrobin;0;0.0;0.00
55;roundrobin;6;1.0;0.08
60;roundrobin;12;2.0;0.17
65;roundrobin;18;3.0;0.25
70;roundrobin;0;0.0;0.00
75;roundrobin;2;1.0;0.05
80;roundrobin;4;2.0;0.10
85;roundrobin;0;0.0;0.00
90;roundrobin;6;1.0;0.08
95;roundrobin;6;1.0;0.08
100;roundrobin;6;1.0;0.08
105;roundrobin;2;1.0;0.05
110;roundrobin;4;2.0;0.10
115;roundrobin;2;1.0;0.05
120;roundrobin;0;0.0;0.00
125;roundrobin;6;1.0;0.08
130;roundrobin;12;2.0;0.17
135;roundrobin;2;1.0;0.05
140;roundrobin;4;2.0;0.10
145;roundrobin;4;2.0;0.10
150;roundrobin;0;0.0;0.00
155;roundrobin;6;1.0;0.08
160;roundrobin;12;2.0;0.17
165;roundrobin;18;3.0;0.25
170;roundrobin;0;0.0;0.00
175;roundrobin;2;1.0;0.05
180;roundrobin;4;2.0;0.10
