tempo;algoritmo;total_escoados;fila_maxima;ocupacao_media
5;roundrobin;6;3.0;0.15
10;roundrobin;16;5.0;0.33
15;roundrobin;10;5.0;0.25
20;roundrobin;6;1.0;0.08
25;roundrobin;18;3.0;0.25
30;roundrobin;30;5.0;0.41
35;roundrobin;18;4.0;0.18
40;roundrobin;4;2.0;0.10
45;roundrobin;10;5.0;0.25
50;roundrobin;6;3.0;0.15
55;roundrobin;12;2.0;0.17
60;roundrobin;24;4.0;0.33
65;roundrobin;33;6.0;0.42
70;roundrobin;5;1.0;0.06
75;roundrobin;6;3.0;0.15
80;roundrobin;10;5.0;0.25
85;roundrobin;5;1.0;0.12
90;roundrobin;15;3.0;0.24
95;roundrobin;27;5.0;0.41
100;roundrobin;24;5.0;0.26
105;roundrobin;4;2.0;0.10
110;roundrobin;8;4.0;0.20
115;roundrobin;6;3.0;0.15
120;roundrobin;6;1.0;0.08
125;roundrobin;20;3.0;0.30
130;roundrobin;30;5.0;0.41
135;roundrobin;11;2.0;0.14
140;roundrobin;6;3.0;0.15
145;roundrobin;10;5.0;0.25
150;roundrobin;2;1.0;0.05
155;roundrobin;12;2.0;0.17
160;roundrobin;24;4.0;0.33
165;roundrobin;33;6.0;0.42
170;roundrobin;4;2.0;0.10
175;roundrobin;8;4.0;0.20
180;roundrobin;10;5.0;0.25
