tempo;algoritmo;total_escoados;fila_maxima;ocupacao_media
5;roundrobin;10;5.0;0.25
10;roundrobin;10;5.0;0.25
15;roundrobin;10;5.0;0.25
20;roundrobin;6;1.0;0.08
25;roundrobin;26;4.0;0.38
30;roundrobin;36;7.0;0.43
35;roundrobin;32;7.0;0.33
40;roundrobin;14;4.0;0.28
45;roundrobin;10;5.0;0.25
50;roundrobin;4;2.0;0.10
55;roundrobin;12;2.0;0.17
60;roundrobin;30;5.0;0.41
65;roundrobin;39;8.0;0.43
70;roundrobin;19;5.0;0.14
75;roundrobin;10;5.0;0.25
80;roundrobin;10;5.0;0.25
85;roundrobin;5;1.0;0.12
90;roundrobin;21;4.0;0.32
95;roundrobin;33;6.0;0.42
100;roundrobin;35;8.0;0.34
105;roundrobin;14;4.0;0.22
110;roundrobin;13;5.0;0.33
115;roundrobin;8;4.0;0.20
120;roundrobin;12;2.0;0.17
125;roundrobin;30;5.0;0.41
130;roundrobin;36;7.0;0.43
135;roundrobin;20;5.0;0.16
140;roundrobin;8;4.0;0.20
145;roundrobin;10;5.0;0.25
150;roundrobin;2;1.0;0.05
155;roundrobin;18;3.0;0.25
160;roundrobin;33;6.0;0.42
165;roundrobin;42;9.0;0.44
170;roundrobin;18;4.0;0.18
175;roundrobin;10;5.0;0.25
180;roundrobin;10;5.0;0.25
