tempo;algoritmo;total_escoados;fila_maxima;ocupacao_media
5;backpressure;2;1.0;0.05
10;backpressure;4;2.0;0.10
15;backpressure;6;3.0;0.15
20;backpressure;2;1.0;0.05
25;backpressure;6;1.0;0.08
30;backpressure;12;2.0;0.17
35;backpressure;18;3.0;0.25
40;backpressure;2;1.0;0.05
45;backpressure;4;2.0;0.10
50;backpressure;4;2.0;0.10
55;backpressure;2;1.0;0.05
60;backpressure;6;1.0;0.08
65;backpressure;12;2.0;0.17
70;backpressure;12;2.0;0.17
75;backpressure;0;0.0;0.00
80;backpressure;2;1.0;0.05
85;backpressure;4;2.0;0.10
90;backpressure;6;3.0;0.15
95;backpressure;0;0.0;0.00
100;backpressure;6;1.0;0.08
105;backpressure;12;2.0;0.17
110;backpressure;0;0.0;0.00
115;backpressure;2;1.0;0.05
120;backpressure;4;2.0;0.10
125;backpressure;4;2.0;0.10
130;backpressure;6;1.0;0.08
135;backpressure;12;2.0;0.17
140;backpressure;18;3.0;0.25
145;backpressure;12;2.0;0.17
150;backpressure;2;1.0;0.05
155;backpressure;4;2.0;0.10
160;backpressure;6;3.0;0.15
165;backpressure;6;1.0;0.08
170;backpressure;6;1.0;0.08
175;backpressure;12;2.0;0.17
180;backpressure;18;3.0;0.25
