Tempo (s);Algoritmo;Total Escoados;Fila Maxima;Ocupacao Media
0;RL;0.6074074074074074;5.006249660953626;0.09015658628857744
5;RL;1.2148148148148148;6.436529451392846;0.052974133970180165
10;RL;1.8222222222222222;4.170356217679826;0.0887225517946828
15;RL;2.4296296296296296;5.536348035620326;0.05256312328960802
20;RL;3.037037037037037;4.922910825539616;0.11747224701776661
25;RL;3.644444444444445;5.397599695215647;0.11740063527755457
30;RL;4.251851851851852;5.234621117206394;0.10263159356229096
35;RL;4.85925925925926;4.649717366361235;0.09863314070131528
40;RL;5.466666666666668;5.133121584705365;0.1417308538761981
45;RL;6.074074074074075;4.092000586336013;0.08999770121809576
50;RL;6.681481481481483;5.324902985880316;0.05566278890009708
55;RL;7.2888888888888905;5.174686392149344;0.10571513131396242
60;RL;7.896296296296298;5.347265167035094;0.15592422668137873
65;RL;8.503703703703705;5.55932216881658;0.06401193166596188
70;RL;9.111111111111112;5.2164008499373224;0.08472273472698999
75;RL;9.71851851851852;5.108963563291067;0.10917190013712523
80;RL;10.325925925925928;4.596712608620745;0.09617327479018159
85;RL;10.933333333333335;4.683464318686326;0.06943321411530644
90;RL;11.540740740740743;5.63526993415898;0.1336699584798121
95;RL;12.14814814814815;5.762398250482764;0.1707273457196879
100;RL;12.755555555555558;4.927503253033211;0.10812196909615943
105;RL;13.362962962962966;5.071887768375336;0.07622787789963431
110;RL;13.970370370370373;4.598907130811279;0.05799301210638218
115;RL;14.577777777777781;5.6399206645013455;0.11331300856089396
120;RL;15.185185185185189;5.388578577272975;0.13980195069001838
125;RL;15.792592592592596;6.028806807218421;0.1220525640516642
130;RL;16.400000000000002;4.621364473956141;0.10883731769550925
135;RL;17.00740740740741;4.873849986596363;0.09234318463566779
140;RL;17.614814814814817;5.180904820927719;0.07836832647407639
145;RL;18.222222222222225;5.390754552087279;0.13728767651163765
150;RL;18.829629629629633;4.96200388801004;0.14077018662973087
155;RL;19.43703703703704;4.635685085116468;0.06809704565371341
160;RL;20.044444444444448;5.5151973183645655;0.16327600986612803
165;RL;20.651851851851855;5.437389158735033;0.13391487841379968
170;RL;21.259259259259263;4.621012350739841;0.15979248240762553
175;RL;21.86666666666667;5.759198725133913;0.0786527118649704
180;RL;22.47407407407408;5.66890460273893;0.0790537209233328
185;RL;23.081481481481486;5.153281420323986;0.11667126755904916
190;RL;23.688888888888894;5.12826002644757;0.137335780925196
195;RL;24.2962962962963;5.367817904376967;0.1772549740724212
200;RL;24.90370370370371;4.662265407250346;0.14565841806533833
205;RL;25.511111111111116;5.110460605519978;0.1183075136127955
210;RL;26.118518518518524;4.021581017192808;0.09590877695345185
215;RL;26.72592592592593;5.538328535808329;0.1647117716312752
220;RL;27.33333333333334;4.321682025395393;0.09998249294345139
225;RL;27.940740740740747;5.856466474390285;0.1788896136254146
230;RL;28.548148148148154;4.942024436752022;0.12261591876032178
235;RL;29.155555555555562;5.00357891632912;0.17997682169332468
240;RL;29.76296296296297;4.797873377811918;0.15373919948283962
245;RL;30.370370370370377;4.970048817452595;0.13037329736405961
250;RL;30.977777777777785;5.825661850547112;0.1200131721588217
255;RL;31.585185185185193;3.874819773265016;0.12647972825949522
260;RL;32.1925925925926;5.759534718136112;0.15066836661740685
265;RL;32.800000000000004;5.292391689202334;0.1412454619989533
270;RL;33.40740740740741;4.522197048282334;0.12222832613663279
275;RL;34.01481481481482;4.590379599245785;0.13618562733543707
280;RL;34.62222222222223;5.968560232933967;0.14462378180281263
285;RL;35.229629629629635;4.659938202917962;0.0795163493450659
290;RL;35.83703703703704;4.55834431115081;0.15823531688744333
295;RL;36.44444444444445;5.706004761190616;0.11621053796855028
