tempo;algoritmo;total_escoados;fila_maxima;ocupacao_media
5;roundrobin;4;2.0;0.10
10;roundrobin;6;3.0;0.15
15;roundrobin;8;4.0;0.20
20;roundrobin;0;0.0;0.00
25;roundrobin;12;2.0;0.17
30;roundrobin;18;3.0;0.25
35;roundrobin;6;1.0;0.08
40;roundrobin;2;1.0;0.05
45;roundrobin;6;3.0;0.15
50;roundrobin;2;1.0;0.05
55;roundrobin;6;1.0;0.08
60;roundrobin;12;2.0;0.17
65;roundrobin;18;3.0;0.25
70;roundrobin;2;1.0;0.05
75;roundrobin;6;3.0;0.15
80;roundrobin;8;4.0;0.20
85;roundrobin;6;1.0;0.08
90;roundrobin;12;2.0;0.17
95;roundrobin;18;3.0;0.25
100;roundrobin;20;3.0;0.30
105;roundrobin;4;2.0;0.10
110;roundrobin;6;3.0;0.15
115;roundrobin;6;3.0;0.15
120;roundrobin;6;1.0;0.08
125;roundrobin;12;2.0;0.17
130;roundrobin;24;4.0;0.33
135;roundrobin;2;1.0;0.05
140;roundrobin;4;2.0;0.10
145;roundrobin;6;3.0;0.15
150;roundrobin;0;0.0;0.00
155;roundrobin;12;2.0;0.17
160;roundrobin;18;3.0;0.25
165;roundrobin;24;4.0;0.33
170;roundrobin;2;1.0;0.05
175;roundrobin;6;3.0;0.15
180;roundrobin;8;4.0;0.20
