tempo;algoritmo;total_escoados;fila_maxima;ocupacao_media
5;roundrobin;8;4.0;0.20
10;roundrobin;10;5.0;0.25
15;roundrobin;10;5.0;0.25
20;roundrobin;6;1.0;0.08
25;roundrobin;24;4.0;0.33
30;roundrobin;33;6.0;0.42
35;roundrobin;29;6.0;0.32
40;roundrobin;6;3.0;0.15
45;roundrobin;13;5.0;0.33
50;roundrobin;9;3.0;0.16
55;roundrobin;12;2.0;0.17
60;roundrobin;24;4.0;0.33
65;roundrobin;36;7.0;0.43
70;roundrobin;10;2.0;0.12
75;roundrobin;10;5.0;0.25
80;roundrobin;10;5.0;0.25
85;roundrobin;3;1.0;0.08
90;roundrobin;21;4.0;0.32
95;roundrobin;30;5.0;0.41
100;roundrobin;32;6.0;0.40
105;roundrobin;6;3.0;0.15
110;roundrobin;13;5.0;0.33
115;roundrobin;8;4.0;0.20
120;roundrobin;12;2.0;0.17
125;roundrobin;24;4.0;0.33
130;roundrobin;36;7.0;0.43
135;roundrobin;17;4.0;0.15
140;roundrobin;8;4.0;0.20
145;roundrobin;10;5.0;0.25
150;roundrobin;2;1.0;0.05
155;roundrobin;18;3.0;0.25
160;roundrobin;30;5.0;0.41
165;roundrobin;39;8.0;0.43
170;roundrobin;10;2.0;0.12
175;roundrobin;16;5.0;0.33
180;roundrobin;10;5.0;0.25
