Tempo (s);Algoritmo;Total Escoados;Fila Maxima;Ocupacao Media
0;RL;1.6074074074074074;16.424934497831487;0.26331643759717654
5;RL;3.214814814814815;16.4445961565327;0.2867002132804421
10;RL;4.822222222222222;19.586510513357144;0.35127612994889146
15;RL;6.42962962962963;15.659630202613032;0.28352932608739595
20;RL;8.037037037037036;21.062274069300713;0.3708514520694986
25;RL;9.644444444444444;19.88303642253004;0.32334926580049206
30;RL;11.251851851851852;20.52936928120481;0.38337509579515694
35;RL;12.85925925925926;17.99694410454553;0.3120097043244292
40;RL;14.466666666666667;18.731418885142677;0.38239330273134564
45;RL;16.074074074074073;16.672526361054263;0.35331509470502825
50;RL;17.68148148148148;18.449109717046994;0.34356220511278207
55;RL;19.288888888888888;20.417891805730804;0.4031782642298868
60;RL;20.896296296296295;22.00883307341412;0.43750841870248824
65;RL;22.503703703703703;17.98992517883378;0.3924780439738551
70;RL;24.11111111111111;19.474541111455242;0.38345783040495873
75;RL;25.71851851851852;20.03612975871393;0.4362749883757129
80;RL;27.325925925925926;18.04499918322539;0.4470092935294968
85;RL;28.933333333333334;21.70921835308083;0.476683964306498
90;RL;30.54074074074074;19.59410099239545;0.49932423470784854
95;RL;32.148148148148145;20.70587785132662;0.47965596421578977
100;RL;33.75555555555555;20.44362645798201;0.5477055411848433
105;RL;35.36296296296296;20.039922366759757;0.5093695061641248
110;RL;36.97037037037037;21.595662920119604;0.5028516907349099
115;RL;38.577777777777776;21.417401775157927;0.47549948722908286
120;RL;40.18518518518518;21.330694136605693;0.5265687444797335
125;RL;41.79259259259259;20.893364485594148;0.534958943813935
130;RL;43.4;22.914067390346307;0.5844617181517642
135;RL;45.007407407407406;25.435456329279027;0.5801291050723764
140;RL;46.614814814814814;22.973155659827388;0.5414755447884431
145;RL;48.22222222222222;24.658286771394785;0.5926262721168035
150;RL;49.82962962962963;20.668918419223136;0.6182065977633946
155;RL;51.43703703703704;23.56461619994718;0.6545036254802089
160;RL;53.044444444444444;21.55486601592511;0.6458898258080464
165;RL;54.65185185185185;21.07736884388504;0.6526921285020197
170;RL;56.25925925925926;22.55481439695394;0.6422713307981811
175;RL;57.86666666666667;26.1212650881724;0.6627201332094804
180;RL;59.474074074074075;25.884695846061913;0.6991579421550125
185;RL;61.08148148148148;24.834153302426625;0.6322914952964891
190;RL;62.68888888888889;21.913395951965434;0.6723936594914205
195;RL;64.29629629629629;24.438857684785315;0.6703017989322928
200;RL;65.9037037037037;25.49705073323363;0.7154554770438144
205;RL;67.5111111111111;25.46299101235953;0.7515895708386051
210;RL;69.11851851851851;22.115890732447067;0.7073756990545
215;RL;70.72592592592592;23.971200162444987;0.6641778187190999
220;RL;72.33333333333333;25.6038472021609;0.7341223494794997
225;RL;73.94074074074074;26.841219274017625;0.7844952058778069
230;RL;75.54814814814814;22.246213388379026;0.7838219130928318
235;RL;77.15555555555555;25.992447011155573;0.7911406255257035
240;RL;78.76296296296296;26.713226208474882;0.7804972611222025
245;RL;80.37037037037037;28.136438734031476;0.7611281601788942
250;RL;81.97777777777777;28.048845419485005;0.8255599340012726
255;RL;83.58518518518518;28.04257134792629;0.7956746721385505
260;RL;85.19259259259259;25.809902546223885;0.8968280505280537
265;RL;86.8;24.057521585927873;0.8590223868643262
270;RL;88.4074074074074;26.8954098939776;0.835089743624123
275;RL;90.01481481481481;29.52283480589142;0.8447696573661335
280;RL;91.62222222222222;30.395251427885587;0.8709249106764354
285;RL;93.22962962962963;29.38689382668035;0.8771302013012414
290;RL;94.83703703703704;29.081506230503646;0.9284222943148434
295;RL;96.44444444444444;29.18125606821744;0.9111117882283167
