tempo;algoritmo;total_escoados;fila_maxima;ocupacao_media
5;roundrobin;10;5.0;0.25
10;roundrobin;10;5.0;0.25
15;roundrobin;16;5.0;0.33
20;roundrobin;12;2.0;0.17
25;roundrobin;33;6.0;0.42
30;roundrobin;45;10.0;0.45
35;roundrobin;44;11.0;0.36
40;roundrobin;28;6.0;0.29
45;roundrobin;19;5.0;0.27
50;roundrobin;8;4.0;0.20
55;roundrobin;24;4.0;0.33
60;roundrobin;39;8.0;0.43
65;roundrobin;51;12.0;0.46
70;roundrobin;36;9.0;0.29
75;roundrobin;25;5.0;0.29
80;roundrobin;13;5.0;0.26
85;roundrobin;2;1.0;0.05
90;roundrobin;30;5.0;0.41
95;roundrobin;42;9.0;0.44
100;roundrobin;50;12.0;0.44
105;roundrobin;31;7.0;0.30
110;roundrobin;19;5.0;0.27
115;roundrobin;8;4.0;0.20
120;roundrobin;12;2.0;0.17
125;roundrobin;33;6.0;0.42
130;roundrobin;48;11.0;0.46
135;roundrobin;42;10.0;0.38
140;roundrobin;25;5.0;0.29
145;roundrobin;13;5.0;0.26
150;roundrobin;4;2.0;0.10
155;roundrobin;24;4.0;0.33
160;roundrobin;39;8.0;0.43
165;roundrobin;54;13.0;0.47
170;roundrobin;38;9.0;0.34
175;roundrobin;22;5.0;0.28
180;roundrobin;10;5.0;0.25
