tempo;algoritmo;total_escoados;fila_maxima;ocupacao_media
5;roundrobin;10;5.0;0.25
10;roundrobin;10;5.0;0.25
15;roundrobin;10;5.0;0.25
20;roundrobin;12;2.0;0.17
25;roundrobin;30;5.0;0.41
30;roundrobin;39;8.0;0.43
35;roundrobin;40;9.0;0.39
40;roundrobin;19;5.0;0.27
45;roundrobin;10;5.0;0.25
50;roundrobin;6;3.0;0.15
55;roundrobin;18;3.0;0.25
60;roundrobin;33;6.0;0.42
65;roundrobin;45;10.0;0.45
70;roundrobin;27;7.0;0.20
75;roundrobin;13;5.0;0.26
80;roundrobin;10;5.0;0.25
85;roundrobin;8;1.0;0.13
90;roundrobin;24;4.0;0.33
95;roundrobin;39;8.0;0.43
100;roundrobin;41;10.0;0.35
105;roundrobin;20;4.0;0.23
110;roundrobin;10;5.0;0.25
115;roundrobin;8;4.0;0.20
120;roundrobin;12;2.0;0.17
125;roundrobin;33;6.0;0.42
130;roundrobin;42;9.0;0.44
135;roundrobin;28;7.0;0.23
140;roundrobin;16;5.0;0.27
145;roundrobin;10;5.0;0.25
150;roundrobin;2;1.0;0.05
155;roundrobin;24;4.0;0.33
160;roundrobin;36;7.0;0.43
165;roundrobin;45;10.0;0.45
170;roundrobin;29;6.0;0.32
175;roundrobin;10;5.0;0.25
180;roundrobin;10;5.0;0.25
