tempo;algoritmo;total_escoados;fila_maxima;ocupacao_media
5;roundrobin;6;3.0;0.15
10;roundrobin;8;4.0;0.20
15;roundrobin;10;5.0;0.25
20;roundrobin;6;1.0;0.08
25;roundrobin;18;3.0;0.25
30;roundrobin;24;4.0;0.33
35;roundrobin;11;2.0;0.14
40;roundrobin;6;3.0;0.15
45;roundrobin;8;4.0;0.20
50;roundrobin;4;2.0;0.10
55;roundrobin;6;1.0;0.08
60;roundrobin;18;3.0;0.25
65;roundrobin;30;5.0;0.41
70;roundrobin;2;1.0;0.05
75;roundrobin;6;3.0;0.15
80;roundrobin;13;5.0;0.33
85;roundrobin;6;1.0;0.08
90;roundrobin;12;2.0;0.17
95;roundrobin;24;4.0;0.33
100;roundrobin;23;4.0;0.30
105;roundrobin;4;2.0;0.10
110;roundrobin;8;4.0;0.20
115;roundrobin;8;4.0;0.20
120;roundrobin;6;1.0;0.08
125;roundrobin;18;3.0;0.25
130;roundrobin;24;4.0;0.33
135;roundrobin;8;1.0;0.13
140;roundrobin;9;3.0;0.16
145;roundrobin;8;4.0;0.20
150;roundrobin;2;1.0;0.05
155;roundrobin;12;2.0;0.17
160;roundrobin;24;4.0;0.33
165;roundrobin;30;5.0;0.41
170;roundrobin;4;2.0;0.10
175;roundrobin;8;4.0;0.20
180;roundrobin;10;5.0;0.25
